url,age,length,.,-,_,status_code,images_internal,images_external,redirections,links_external,links_internal,input_fields,same_landing_url
http://mdflandres.com/balouteli/,411,32,1,0,0,404,-1,-1,-1,-1,-1,-1,-1
http://gulfsynergy.ram-fsip.com/doneds/ing/,4426,43,2,1,0,200,4,0,2,0,0,7,0
https://oviendooreal.com/next2.php,3,34,2,0,0,200,1,0,0,1,0,6,0
https://mycompositi.com/5698/,652,29,1,0,0,500,0,0,1,0,0,0,0
http://basqfar.maninfinity.com/bavchjs,1802,38,2,0,0,404,-1,-1,-1,-1,-1,-1,-1
https://portale-dati-creval.com/,0,32,1,2,0,404,-1,-1,-1,-1,-1,-1,-1
